Id_Chanson,Id_Chanson_Parent,Titre_Chanson,Annee_Creation_Chanson,Categories_Chanson,Langues_Chanson,Lieux_Origines_Chanson,Autre_Titre_Chanson,Note_Chanson,Relation_Chanson_Autorite,Id_Autorite,Forme_Retenue_Autorite,Forme_Nom_Veritable,Formes_Anciennes,Formes_Non_Retenues,Formes_Autres_Retenues,Type_Autorite,Date_Naissance_Autorite,Date_Deces_Autorite,Lieux_Naissances_Autorite,Lieux_Activites_Autorite,Note_Autorite,Id_Autorites_Membres_Groupes,Id_Autorites_Evolutions,Id_Autorites_Partenariats
313,,"Des ronds dans l'eau",1967,"Film","français","","","Extrait du film : ""Vivre pour vivre"".","Auteur; Compositeur",9111,"Le Sénéchal, Raymond","","","","","Physique","????-??-??","????-??-??","France","France","Compositeur et directeur musical.","","",""
313,,"Des ronds dans l'eau",1967,"Film","français","","","Extrait du film : ""Vivre pour vivre"".","Interprète",10569,"Micheau, Sarah","","","","","Physique","????-??-??","????-??-??","France","France","Chanteuse.","","",""
313,,"Des ronds dans l'eau",1967,"Film","français","","","Extrait du film : ""Vivre pour vivre"".","Interprète",11860,"Patachou, 1918-","Ragon, Henriette, 1918-","","","","Physique","1918-06-10","????-??-??","France","France","Actrice et chanteuse.","","",""
314,,"God and God alone",1990,"Religion / Spiritualité","anglais","","","","Interprète",3254,"Coley, Daryl, 1955-","Coley, Daryl L., 1955-","","","","Physique","1955-10-30","????-??-??","États-Unis; Californie","États-Unis; Californie","Chanteur de gospel et de musique chrétienne.","","",""
314,,"God and God alone",1990,"Religion / Spiritualité","anglais","","","","Auteur; Compositeur",12836,"Rhone, Calvin Bernard","","","","","Physique","????-??-??","????-??-??","États-Unis; New York","États-Unis; New York","Auteur-compositeur.","","",""
315,,"Escape (Pina colada song)",1979,"","anglais","","","","Auteur; Compositeur; Interprète",7287,"Holmes, Rupert, 1947-","Goldstein, David, 1947-","","","","Physique","1947-02-24","????-??-??","Royaume-Uni; Angleterre","États-Unis; New York","Auteur-compositeur-interprète et musicien de soft rock et de pop-rock. Né en Angleterre; grandi à New York à partir de l'âge de 6 ans.","","",""
315,,"Escape (Pina colada song)",1979,"","anglais","","","","Interprète",16770,"Anal Cunt (Groupe musical)","","","A.C.; AxCx","","Morale","1988-??-??","2011-??-??","États-Unis; Massachusetts","États-Unis; Massachusetts","Groupe de grindcore.","","",""
315,,"Escape (Pina colada song)",1979,"","anglais","","","","Interprète",17250,"Captain Jack (Duo musical)","","","","","Morale","1995-??-??","????-??-??","Allemagne","Allemagne","Duo d'eurodance, dance pop et hip-hop.","","",""
316,,"[Titre inconnu #000316]",,"","","","","","Auteur; Compositeur",3885,"David","","","","","Physique","????-??-??","????-??-??","","","Auteur-compositeur.","","",""
316,,"[Titre inconnu #000316]",,"","","","","","Auteur; Compositeur",21698,"Taylor","","","","","Physique","????-??-??","????-??-??","","","Auteur-compositeur.","","",""
317,,"Valparaiso",1983,"","anglais","","","","Auteur; Compositeur; Interprète",10879,"Moore, Paula","","","","","Physique","????-??-??","????-??-??","États-Unis; Tennessee","France","Auteure-compositrice-interprète. Née au Tennessee (États-Unis); réside et travaille en France.","","",""
317,,"Valparaiso",1983,"","anglais","","","","Auteur; Compositeur",15492,"Vangarde, Daniel, 1947-","Bangalter, Daniel, 1947-","","","","Physique","1947-??-??","????-??-??","France","France","Auteur-compositeur et producteur.","20348","",""
318,,"Un enfant est né",1974,"Noël","français","","","","Auteur; Compositeur; Interprète",669,"Aznavour, Charles, 1924-","Aznavourian, Chahnourh Varinag, 1924-","","","","Physique","1924-05-22","????-??-??","France","France","Auteur-compositeur-interprète.","","","21179; 21481; 21497; 21636; 21699; 21700; 21741; 21742; 21966; 22201; 22202"
318,,"Un enfant est né",1974,"Noël","français","","","","Auteur; Compositeur",5896,"Garvarentz, Georges, 1932-1993","Wem, George Diran, 1932-1993","","","","Physique","1932-04-01","1993-03-19","Grèce","France","Compositeur. Né en Grèce; émigre en France en 1942.","","",""
319,,"Un jour",1966,"","français","","","La chanson originale française fut écrite en 1966, mais ne fut enregistrée et commercialisée qu'en 1967.","Auteur; Compositeur; Interprète",669,"Aznavour, Charles, 1924-","Aznavourian, Chahnourh Varinag, 1924-","","","","Physique","1924-05-22","????-??-??","France","France","Auteur-compositeur-interprète.","","","21179; 21481; 21497; 21636; 21699; 21700; 21741; 21742; 21966; 22201; 22202"
320,,"Devoted to you",1958,"","anglais","","","","Auteur; Compositeur",1773,"Boudleaux, Bryant, 1920-1987","Bryant, Diadorius Boudleaux, 1920-1987","","","","Physique","1920-02-13","1987-06-25","États-Unis; Géorgie","États-Unis; Géorgie","Compositeur et violoniste.","","",""
320,,"Devoted to you",1958,"","anglais","","","","Auteur; Compositeur",2154,"Bryant, Felice, 1925-2003","Scaduto, Matilda Genevieve, 1925-2003","","","","Physique","1925-08-07","2003-04-22","États-Unis; Wisconsin","États-Unis; Wisconsin","Auteure-compositrice.","","",""
